category,term,hebrew_term,wikipedia_en,wikipedia_he,wikidata_id,father,student_of,student,date_of_birth,place_of_birth,date_of_death,place_of_death
Biblical,Abner,אבנר בן נר,https://en.wikipedia.org/wiki/Abner,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%A0%D7%A8_%D7%91%D7%9F_%D7%A0%D7%A8,Q1133337,Ner,,,,,,
Biblical,Abraham,אברהם,https://en.wikipedia.org/wiki/Abraham,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%A8%D7%94%D7%9D,Q9181,Terah / תרח,,,1813 BCE,Ur Kaśdim / אור כשדים,1638 BCE,Hebron / חברון
Geonim,Abraham ben Aaron,Abraham ben Aaron,https://en.wikipedia.org/wiki/Abraham_ben_Aaron,,Q118874768,,,,,,,
Geonim; Rishonim,Abraham ben Mazhir,Abraham ben Mazhir,https://en.wikipedia.org/wiki/Abraham_ben_Mazhir,,Q120210156,,,,,,,
Rishonim,Abraham Eleazar,Abraham Eleazar,https://en.wikipedia.org/wiki/Abraham_Eleazar,,Q122863751,,,,,,,
Tannaim,Abtalion,אבטליון,https://en.wikipedia.org/wiki/Abtalion,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%98%D7%9C%D7%99%D7%95%D7%9F_%28%D7%96%D7%95%D7%92%D7%95%D7%AA%29,Q2750624,,Judah ben Tabbai / יהודה בן טבאי; Simeon ben Shetach / שמעון בן שטח,Hillel the Elder / הלל הזקן; Shammai the elder / שמאי הזקן,,,,
Tannaim,Abtolemus,אבטולמוס,https://en.wikipedia.org/wiki/Abtolemus,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%98%D7%95%D7%9C%D7%9E%D7%95%D7%A1,Q2695791,,,,2c,Sepphoris / ציפורי,,
Biblical,Achan,עכן בן כרמי,https://en.wikipedia.org/wiki/Achan_%28biblical_figure%29,https://he.wikipedia.org/wiki/%D7%A2%D7%9B%D7%9F_%D7%91%D7%9F_%D7%9B%D7%A8%D7%9E%D7%99,Q1889647,Carmi / כרמי,,,,,,
Biblical,Achbor,עכבור,https://en.wikipedia.org/wiki/Achbor,,Q4673588,,,,,,,
Biblical,Achimelech,אחימלך בן אחיטוב,https://en.wikipedia.org/wiki/Achimelech,,Q4673772,,,,,,,
Biblical,Achsah,עכסה,https://en.wikipedia.org/wiki/Achsah,https://he.wikipedia.org/wiki/%D7%A2%D7%9B%D7%A1%D7%94,Q2829011,Caleb / כלב בן יפונה,,,,,,
Biblical,Adah,עדה,,https://he.wikipedia.org/wiki/%D7%A2%D7%93%D7%94_%28%D7%93%D7%9E%D7%95%D7%AA_%D7%9E%D7%A7%D7%A8%D7%90%D7%99%D7%AA%29,Q1809123,,,,,,,
Biblical,Adaiah,Adaiah,https://en.wikipedia.org/wiki/Adaiah,,Q4678401,,,,,,,
Biblical,Adam,אדם,https://en.wikipedia.org/wiki/Adam,https://he.wikipedia.org/wiki/%D7%90%D7%93%D7%9D_%28%D7%93%D7%9E%D7%95%D7%AA_%D7%9E%D7%A7%D7%A8%D7%90%D7%99%D7%AA%29,Q70899,,,,4004 BCE,Garden of Eden / גן עדן,3074 BCE,
Biblical,Addon,Addon,https://en.wikipedia.org/wiki/Addon,,Q4681360,,,,,,,
Biblical,Adiel,Adiel,https://en.wikipedia.org/wiki/Adiel,,Q4682726,,,,,,,
Tannaim,Admon,אדמון,https://en.wikipedia.org/wiki/Admon_%28tanna%29,https://he.wikipedia.org/wiki/%D7%90%D7%93%D7%9E%D7%95%D7%9F,Q2069742,,,,,Jerusalem / ירושלים,,
Biblical,Adonijah,אדניהו,https://en.wikipedia.org/wiki/Adonijah,https://he.wikipedia.org/wiki/%D7%90%D7%93%D7%95%D7%A0%D7%99%D7%94%D7%95,Q360378,David / דוד,,,10c BCE,Hebron / חברון,10c BCE,
Biblical,Adoniram,אדנירם,https://en.wikipedia.org/wiki/Adoniram,https://he.wikipedia.org/wiki/%D7%90%D7%93%D7%A0%D7%99%D7%A8%D7%9D,Q4057937,Abda,,,,,,
Biblical,Agur,אגור בן יקה,https://en.wikipedia.org/wiki/Agur,https://he.wikipedia.org/wiki/%D7%90%D7%92%D7%95%D7%A8_%D7%91%D7%9F_%D7%99%D7%A7%D7%94,Q398663,,,,,,,
Tannaim,Aha,רבי אחא,,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99_%D7%90%D7%97%D7%90_%28%D7%AA%D7%A0%D7%90%29,Q25492584,,,,,,,
Amoraim,Aha b. Raba,רב אחא בריה דרבא,https://en.wikipedia.org/wiki/Aha_b._Rava,https://he.wikipedia.org/wiki/%D7%A8%D7%91_%D7%90%D7%97%D7%90_%D7%91%D7%A8%D7%99%D7%94_%D7%93%D7%A8%D7%91%D7%90,Q4694893,,,,,,,
Biblical kings,Ahab,אחאב,https://en.wikipedia.org/wiki/Ahab,https://he.wikipedia.org/wiki/%D7%90%D7%97%D7%90%D7%91,Q235901,Omri / עמרי,,,918 BCE,,852 BCE,Ramoth-Gilead / רמות גלעד
Tannaim,Ahai ben Josiah,אחי ברבי יאשיה,https://en.wikipedia.org/wiki/Ahai_ben_Josiah,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99_%D7%90%D7%97%D7%99_%D7%91%D7%A8%D7%91%D7%99_%D7%99%D7%90%D7%A9%D7%99%D7%94,Q106226060,,,,,,,
Geonim,Ahai of Shabaḥa,רב אחא משבחא,https://en.wikipedia.org/wiki/Ahai_of_Shabha,https://he.wikipedia.org/wiki/%D7%A8%D7%91_%D7%90%D7%97%D7%90_%D7%9E%D7%A9%D7%91%D7%97%D7%90,Q953481,,,,0680,,0752; 0756,Palestine / ארץ ישראל
Biblical kings,Ahaz,אחז,https://en.wikipedia.org/wiki/Ahaz,https://he.wikipedia.org/wiki/%D7%90%D7%97%D7%96,Q30914,Jotham / יותם,,,763 BCE,,727 BCE,
Biblical kings,Ahaziah,אחזיהו,https://en.wikipedia.org/wiki/Ahaziah_of_Israel,https://he.wikipedia.org/wiki/%D7%90%D7%97%D7%96%D7%99%D7%94%D7%95_%28%D7%9E%D7%9C%D7%9A_%D7%99%D7%A9%D7%A8%D7%90%D7%9C%29,Q313213,Ahab / אחאב,,,870 BCE,Kingdom of Israel / ממלכת ישראל,851 BCE,
Biblical kings,Ahaziah,אחזיהו,https://en.wikipedia.org/wiki/Ahaziah_of_Judah,https://he.wikipedia.org/wiki/%D7%90%D7%97%D7%96%D7%99%D7%94%D7%95_%28%D7%9E%D7%9C%D7%9A_%D7%99%D7%94%D7%95%D7%93%D7%94%29,Q313214,Jehoram / יהורם,,,863 BCE,Jerusalem / ירושלים,841 BCE,Tel Megiddo / תל מגידו
Biblical,Ahiezer son of Shemaah of Gibeah,אחיעזר בן השמעה הגבעתי,,https://he.wikipedia.org/wiki/%D7%90%D7%97%D7%99%D7%A2%D7%96%D7%A8_%D7%91%D7%9F_%D7%94%D7%A9%D7%9E%D7%A2%D7%94_%D7%94%D7%92%D7%91%D7%A2%D7%AA%D7%99,Q20502064,,,,,,,
Biblical,Ahijah,אחיה,https://en.wikipedia.org/wiki/Ahijah,https://he.wikipedia.org/wiki/%D7%90%D7%97%D7%99%D7%94,Q4072968,,,,,,,
Biblical,Ahijah the Shilonite,אחיה השילוני,https://en.wikipedia.org/wiki/Ahijah_the_Shilonite,https://he.wikipedia.org/wiki/%D7%90%D7%97%D7%99%D7%94_%D7%94%D7%A9%D7%99%D7%9C%D7%95%D7%A0%D7%99,Q2590260,,David / דוד,Elijah / אליהו,,,,
Biblical,Ahikam,אחיקם,https://en.wikipedia.org/wiki/Ahikam,https://he.wikipedia.org/wiki/%D7%90%D7%97%D7%99%D7%A7%D7%9D_%D7%91%D7%9F_%D7%A9%D7%A4%D7%9F,Q4695108,Shaphan / שפן הסופר,,,,,,
Biblical,Ahimaaz,אחימעץ בן צדוק,https://en.wikipedia.org/wiki/Ahimaaz,https://he.wikipedia.org/wiki/%D7%90%D7%97%D7%99%D7%9E%D7%A2%D7%A5_%D7%91%D7%9F_%D7%A6%D7%93%D7%95%D7%A7,Q2904547,Zadok / צדוק,,,,Land of Israel / ארץ ישראל,,
Biblical,Ahiman,Ahiman,https://en.wikipedia.org/wiki/Ahiman,,Q16147558,,,,,,,
Biblical,Ahimelech,אחימלך בן אחיטוב,https://en.wikipedia.org/wiki/Ahimelech,https://he.wikipedia.org/wiki/%D7%90%D7%97%D7%99%D7%9E%D7%9C%D7%9A_%D7%91%D7%9F_%D7%90%D7%97%D7%99%D7%98%D7%95%D7%91,Q400257,Ahitub / אחיטוב,,,,,,
Biblical,Ahinadab,Ahinadab,https://en.wikipedia.org/wiki/Ahinadab,,Q4695120,,,,,,,
Biblical,Ahio,Ahio,https://en.wikipedia.org/wiki/Ahio,,Q4695122,,,,,,,
Biblical,Ahitophel,אחיתופל,https://en.wikipedia.org/wiki/Ahitophel,https://he.wikipedia.org/wiki/%D7%90%D7%97%D7%99%D7%AA%D7%95%D7%A4%D7%9C,Q400294,,,,11c BCE,Giloh / גילה,1019 BCE; 978 BCE,
Biblical,Ahitub,אחיטוב,https://en.wikipedia.org/wiki/Ahitub_%28High_Priest%29,https://he.wikipedia.org/wiki/%D7%90%D7%97%D7%99%D7%98%D7%95%D7%91_%28%D7%A0%D7%9B%D7%93_%D7%A2%D7%9C%D7%99%29,Q4695144,Phinehas / פינחס בן עלי,,,,,,
Biblical,Ahitub,Ahitub,https://en.wikipedia.org/wiki/Ahitub,,Q109376121,,,,,,,
Biblical,Ahoah,Ahoah,https://en.wikipedia.org/wiki/Ahoah,,Q4696268,,,,,,,
Tannaim,Akabia ben Mahalalel,עקביא בן מהללאל,https://en.wikipedia.org/wiki/Akabia_ben_Mahalalel,https://he.wikipedia.org/wiki/%D7%A2%D7%A7%D7%91%D7%99%D7%90_%D7%91%D7%9F_%D7%9E%D7%94%D7%9C%D7%9C%D7%90%D7%9C,Q585126,,,,,Galilee / הגליל,,
Tannaim,Akiva ben Joseph,רבי עקיבא בן יוסף,https://en.wikipedia.org/wiki/Rabbi_Akiva,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99_%D7%A2%D7%A7%D7%99%D7%91%D7%90,Q310821,,Nahum of Gimzo / נחום איש גמזו; Eliezer ben Hurcanus / רבי אליעזר בן הורקנוס; Joshua ben Hananiah / רבי יהושע בן חנניה,Shimon bar Yochai / שמעון בר יוחאי; Rabbi Meir / רבי מאיר,0050,Lod / לוד,0135-09-28,Caesarea Maritima / קיסריה
Biblical,Alemeth,Alemeth,https://en.wikipedia.org/wiki/Alemeth,,Q4716077,,,,,,,
Biblical,Almodad,אלמודד,https://en.wikipedia.org/wiki/Almodad,https://he.wikipedia.org/wiki/%D7%90%D7%9C%D7%9E%D7%95%D7%93%D7%93,Q2905798,Joktan / יקטן,,,,,,
Biblical,Amariah,אמריהו כהן הראש,https://en.wikipedia.org/wiki/Amariah,https://he.wikipedia.org/wiki/%D7%90%D7%9E%D7%A8%D7%99%D7%94%D7%95_%D7%9B%D7%94%D7%9F_%D7%94%D7%A8%D7%90%D7%A9,Q4740243,,,,,,,
Biblical,Amarkol,אמרכל,https://en.wikipedia.org/wiki/Amarkol,https://he.wikipedia.org/wiki/%D7%90%D7%9E%D7%A8%D7%9B%D7%9C,Q7067854,,,,,,,
